Potbelly Sandwich Shop	http://www.yelp.com/biz/potbelly-sandwich-shop-new-york-15?osq=cheap+eats	$	29	Sandwiches	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=sandwiches	0.2
Joe's Pizza	http://www.yelp.com/biz/joes-pizza-new-york-7?osq=cheap+eats	$	110	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.3
Maoz Vegetarian	http://www.yelp.com/biz/maoz-vegetarian-new-york-9?osq=cheap+eats	$	387	Middle Eastern	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=mideastern	0.2
Campeon	http://www.yelp.com/biz/campeon-new-york?osq=cheap+eats	$$	76	Sports Bars	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=sportsbars	0.1
Jus	http://www.yelp.com/biz/jus-new-york?osq=cheap+eats	$	35	Juice Bars & Smoothies	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=juicebars	0.1
Eva's	http://www.yelp.com/biz/evas-new-york?osq=cheap+eats	$	119	Mediterranean	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=mediterranean	0.4
Saigon Market	http://www.yelp.com/biz/saigon-market-new-york?osq=cheap+eats	$$	525	Vietnamese	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=vietnamese	0.2
5 Napkin Burger	http://www.yelp.com/biz/5-napkin-burger-new-york-3?osq=cheap+eats	$$	323	Burgers	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=burgers	0.4
GustOrganics	http://www.yelp.com/biz/gustorganics-new-york?osq=cheap+eats	$$	301	American (New)	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=newamerican	0.3
Clarke's Standard	http://www.yelp.com/biz/clarkes-standard-new-york-4?osq=cheap+eats	$$	59	Burgers	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=burgers	0.1
Chop't Creative Salad Company	http://www.yelp.com/biz/chopt-creative-salad-company-new-york-2?osq=cheap+eats	$$	197	Sandwiches	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=sandwiches	0.1
